ricercatore	count
ianaro angela	4
guida saverio	4
fermeglia maurizio	4
grego stefano	4
siciliano aldo	4
de prisco antonio	4
ghinelli dina	4
albinati alberto	4
santini alessandro	4
faella ciro	4
de placido sabino	4
barbieri giancarlo	4
agostinelli enzo	4
tafuri francesco	4
d'apuzzo massimo	4
balletta francesco	4
d'ischia marco	4
longo francesca	4
di martino gabriella	4
faina giorgio	4
barale giuliano massimo	4
pivonello rosario	4
zappia vincenzo	4
amoretti francesco	4
lavecchia antonio	4
bruni carmelo bruno	4
rossella ginevra tupler	4
piccialli gennaro	4
serpieri roberto	4
jappelli tullio	4
scudiero michele	4
zambrano nicola	4
iovane giuseppe	4
cuomo massimo	4
ferrario matilde	4
ialenti armando	4
vitolo giovanni	4
savastano silvia	4
co' giampaolo	4
guardi' tommaso	4
violini lorenza	4
nicola silvana	4
chiesa sergio	4
santoro vittorio	4
cotroneo girolamo	4
villacci domenico	4
battaglia donatella	4
goglia fernando	4
laforgia domenico	4
corrado angelini	4
gismondi angela	4
valbonesi paola	4
scala giuseppe	4
giordano silvia	4
buja giuseppe	4
zagaglia norma	4
pappalardo giuseppe	4
rispoli marilena	4
mazzolani federico massimo	4
biffo stefano	4
de martino attilio	4
troncone riccardo	4
tortora roberto	4
bertero mario	4
tamburrini guglielmo	4
de palma giovanni domenico	4
basolo fulvio	4
strollo antonio giuseppe maria	4
ashwin seshia	4
de marco gabriella	3
chiti fabrizio	3
russo gennaro	3
chiarugi paola	3
bin ferdinando	3
colicchi enza	3
ceccarelli michele	3
la mantia girolama	3
d'agostino salvatore	3
d'alessio giuseppe	3
frusciante luigi	3
trabace luigia	3
rengo franco	3
briganti ernesto	3
quattrone aldo	3
grieco michele	3
cavallini giorgio	3
civetta lucia	3
fagiolo marcello	3
de placido giuseppe	3
savettieri giovanni	3
ricci fulvio	3
vitiello giuseppe	3
ubertini francesco	3
de pascale espedito	3
pignata claudio	3
de michele giuseppe	3
monti luigi	3
girardello luciano	3
piccolo antonio	3
giovannini massimo	3
marin marcello	3
carucci alessandra	3
pulci doria guelfo	3
grassi michele	3
rizzo silvia	3
meola carlo	3
ponz de leon pisani maurizio	3
poma andrea adolfo maria consolata	3
govoni stefano	3
carotenuto alfonso	3
corazza gino roberto	3
fogli gianluigi	3
quarati piero	3
wanke enzo	3
formisano silvestro	3
battistelli luigi	3
fiorillo giuliana	3
fiorentini simona	3
gobbetti marco	3
pucci giuseppe	3
ronsisvalle giuseppe	3
cambi franco	3
perrone roberto	3
bartolone claudio	3
valentini gabriele	3
nicolais luigi	3
weber hans	3
piga andrea	3
coghe aldo sebastiano	3
barresi antonello	3
peracchi franco	3
gilardi gianfranco	3
rotoli bruno	3
federico massimo	3
vitti paolo	3
cerri guido	3
d'andria francesco	3
tognotti leonardo	3
santucci rosario	3
pimpini ferdinando	3
chianese lina	3
cringoli giuseppe	3
ferrari giancarlo	3
marcial echenique	3
migliaccio antimo	3
leonardi rosalia maria	3
evangelisti allori paola	3
de virgiliis stefano	3
cerri augusto	3
ferrante antonio	3
rossi renzo	3
dardanoni valentino	3
franzetti silvio	3
mallamace francesco	3
faravelli tiziano	3
pennisi carlo	3
tempia filippo	3
gian maria fabrizi	3
giannini mauro	3
candeloro domenico	3
giuliana galluzzi	3
viparelli valeria	3
giacomelli roberto	3
pronzato maria adelaide	3
d'agostino vincenzo	3
scaramuzzino francesco	3
ghersi aurelio	3
crescenzi orlando	3
antonetti claudia	3
siciliano roberta	3
belli daniela	3
dell'olmo paolo	3
ranzi eliseo maria	3
cecchi franco	3
perotti maria elisa	3
zoli carlo	3
palmieri vincenzo ostilio	3
panu rino	3
franco gemignani	3
gelli giacinto	3
corsini giovanni	3
la spina antonio	3
pagano enrico	3
paduano luigi	3
pacini ettore	3
pace emanuele	3
di francesco dario	3
centi beatrice	3
esposito giovanni	3
leonardi antonio	3
orefice mario	3
gasparri carlo	3
lando fabio	3
cucchiara salvatore	3
centanni marco	3
marinari umberto maria	3
lenarda maurizio	3
calogero francesco	3
costantini flavio	3
gorini giovanni	3
cursi maria floriana	3
mancinelli anna maria	3
de giorgio roberto	3
rossi paolo	3
gambino silvio	3
siniscalchi agata	3
la mantia francesco paolo	3
bernardi giorgio	3
pietrobon daniela	3
gianotti gian franco	3
cristofolini giovanni	3
baldini antonio	3
primofiore giampaolo	3
arico' nicola	3
miccio michele	3
mosca manuela	3
paolisso giuseppe	3
celano gaetano vitale	3
caglioti francesco	3
colombo claudio massimo	3
fusco domenico	3
gasbarrini antonio	3
sacco margherita	3
fugassa emilia	3
giustina andrea	3
mondola paolo	3
maccarini giancarlo	3
gianfranco sebastio	3
benadusi luciano	3
savino maria	3
wolf ugo	3
catania andrea emilio	3
vita finzi paola valeria	3
lanzo antonio domenico	3
di stasio liliana	3
buonocore vincenzo	3
lucarelli francesco	3
muzi marielisa	3
postiglione loredana	3
chieco bianchi luigi	3
talevi riccardo	3
meschini anna	3
appendino giovanni battista	3
savoia marco	3
ajith kumar narayanan parlikad	3
provenzano giuseppe antonio	3
menis roberto	3
memo maurizio	3
